,beer_kor_name,beer_eng_name,class,country,description
0,1664블랑,Kronenbourg 1664 Blanc,Witbier / Belgian White Ale,🇫🇷 ,"1664 White is a fresh and fruity white beer. Because of its flavor and its design, it embodies the elegance and taste of French in the world of wheat beers.

Authentic, it is accessible and slightly fruity, revealing subtle aromas of citrus, lemon and coriander."
1,경복궁,Kabrew Gyeongbokgung Royal Pride IPA,ISA - Session IPA,🇰🇷 ,"Session IPA has a strong personality and a good balance between malt and hops, which is made with special malts full of dried fruit flavor, unlike Session IPA in the existing market."
2,광화문,ARK Seoulite Ale,Pale Ale - American (APA),🇰🇷 ,
3,구미호 IPA,Kabrew Kumiho India Pale Ale,IPA,🇰🇷 ,
4,구미호 피치 에일,Kabrew Kumiho Peach Ale,Flavored - Fruit,🇰🇷 ,North American style fruit beer based on wheat which has full scent of peach and no bitter taste.
5,구스 아일랜드 IPA,Goose Island Goose IPA,IPA - English,🇺🇸 ,"Bottle: Filtered

An English Style IPA, this beer opens with a fruity aroma set off by a dry malt middle and long hop finish.
Our India Pale Ale recalls a time when ales shipped from Britain to India were highly hopped to preserve their distinct taste during the long journey. The result is a hop lover's dream with a fruity aroma, set off by a dry malt middle, and long hop finish.
Bourbon in colour and 59 in International Bitterness Unit, our IPA uses Pilgrim, Styrian Golding Celeia, Cascade and Centennial Hops.
We don't need to be the only beer you drink.
We just want to be the best beer you drink."
6,구스 아일랜드 덕덕구스 ,Goose Island Duck Duck Goose,Wheat Ale,🇺🇸 ,
7,구스 아일랜드 마틸다,Goose Island Matilda,Belgian Ale - Dark / Amber,🇺🇸 ,"Bottle conditioned.

Ingredients: Water, Styrian and Saaz Hops, 2-Row Barley and Caramel Malt, Yeast and Granulated Beet Sugar.

Matilda is made with a rare yeast that suggests a fruity and spicy flavor. There is complex maltiness balanced with a profuse amount of hops."
8,구스 아일랜드 버본 컨트리 스타우트,Goose Island Bourbon County Stout,Stout - Imperial,🇺🇸 ,"""I really wanted to do something special for our 1000th batch at the original brewpub.  Goose Island could have thrown a party.  But we did something better.  We brewed a beer.  A really big batch of stout-so big the malt was coming out of the top of the mash tun.  After fermentation we brought in some bourbon barrels to age the stout.  One hundred and fifty days later, Bourbon County Stout was born-A liquid as dark and dense as a black hole with a thick foam the color of bourbon barrels.  The nose is a mix of charred oak, vanilla,carmel and smoke.  One sip has more flavor than your average case of beer.  It overpowers anything in the room.  People have even said that it’s a great cigar beer, but I haven’t yet tried a cigar that would stand up to it.""  Brewmaster Greg Hall;   


IBU’s 60-High
Color - Midnight


Was 11% abv,

2007 and 2008 - 13% abv 

2011 - 14.5% abv 

2012 - 15% abv

2013 - 14.9% abv

2014 - 14.4% abv
 
2015 - 14.2% abv
 
2016 - 13.9% &amp; 13.8% abv 

2017 - 14.1% abv 

2018 - 14.7% &amp; 15.2% abv 



Editor’s Note: Baudoinia Fulton &amp; Wood Series offering (And the Low Storage entry from FoBAB 2012) is simply Bourbon County Stout aged in the same barrels. It has been alted as it offers no different recipe or barrel type simply the presence of a distillers fungus on the barrels that adds no distinct characteristic to the beer from the fungus itself except for possible oxygen exposure changes. While Brewers Intent indicates that they consider it a new beer, no true distinction aside from this oxidation amount and possible aging time differences separates the beers. It’s essentially a single barrel Bourbon County version something we have always treated as regular Bourbon County Stout in the past."
9,구스 아일랜드 소피,Goose Island Sofie,Saison / Farmhouse - Flavored,🇺🇸 ,"Fermented with wild yeasts and aged in wine barrels with orange peel, Sofie is a tart, dry, sparkling ale. A subtle, spicy white pepper note, a hint of citrus from the orange peel and a creamy vanilla finish make Sofie an intriguing choice for Champagne drinkers and beer drinkers who are fond of Belgian Saisons."
10,구스 아일랜드 썸머 타임,Goose Island Summertime,Kölsch / Kölsch-Style,🇺🇸 ,"Kolsch, the clean and refreshing beer style of Cologne, Germany, quenches summertime thirst. This pale golden ale with a lightly fruity aroma is cold-conditioned or lagered after its primary fermentation. More simply, our Summertime uses only the finest malts and German hops to create the perfect beer for hot Summer days and warm Summer nights."
11,구스 아일랜드 페페 네로,Goose Island Pepe Nero,Saison / Farmhouse - Dark,🇺🇸 ,A black rye saison that combines a roasted/smoky malt character in balance with a pepper spice from the yeast.  Finishes dry with a refreshing level of carbonation.
12,구스 아일랜드 혼커스 에일,Goose Island Honkers Ale,Bitter - Ordinary / Best,🇺🇸 ,"Inspired by visits to English country pubs, Honker’s Ale combines a fruity hop aroma with a rich malt middle to create a perfectly balanced beer. Immensely drinkable, Honker’s Ale is not only the beer you can trust but one you’ll look forward to time and again."
13,구스 아일랜드 312,Goose Island 312 Urban Wheat Ale,Wheat Ale,🇺🇸 ,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of blending barley malt with torrified wheat. It’s not like any other Goose Island Beer, but no less that you’d expect."
14,기네스 드라우트,Guinness Draught,Stout - Dry / Irish,🇮🇪 ,"Nitro-can, nitro-keg and nitro-bottle; Filtered

Usually called Draught; sometimes called Cold or Extra Cold - same beer, but served colder. Abv ranges from 4.1 to 4.3 % depending on where it was brewed - Guinness exports a hopped and concentrated wort to regional breweries who then brew it on site.

Launched in 1961. 

Ingredients: Pale ale malt, about 25 to 30% flaked barley, and about 10% roasted barley, with no other grains or sugars; several hop varieties, mainly Goldings (pellets and isomerized extract); a flocculent head-forming ale yeast."
15,기네스 엑스트라 스타우트(북미),Guinness Extra Stout (North America),Stout - Dry / Irish,🇨🇦 ,"Labatt’s brew a pale ale base to which is added the unfermented but hopped Guinness wort extract. Guinness Extra Stout is brewed in Canada by Labatt under license from Arthur Guinness Son &amp; Company.  Editor’s Note:  It looks like Moosehead is also brewing Guinness.  Bottles in the US are from there of late, but Canadian bottles are still showing Labatt.  04/23/06"
16,기네스 엑스트라 스타우트(세계),Guinness Foreign Extra Stout,Stout - Extra / Foreign / Tropical,🇮🇪 ,"Foreign Extra Stout is a beer like no other.  The most full-flavoured of all.  Singular and striking.  Uniquely satisfying.  Brewed with extra hops and roasted barley for a natural bite.  Bitter and sweet.  Refreshingly crisp.  Always rewarding.  Pure beauty.  Pure GUINNESS.



Editor’s Note:  This is the standard FES.  Sometimes it is imported from Ireland but more often it is brewed locally.  This version is most common in the Caribbean and Africa.  All versions from those places, save for Jamaica, Nigeria, Kenya and Ghana should be rated here."
17,기네스 흑맥주,Guinness Black Lager,Schwarzbier / Black Lager,🇮🇪 ,"Guinness Black Lager is cold-brewed with roasted barley to deliver the refreshing taste of lager with the unique character of Guinness. Enjoy ice cold straight from the bottle. 


Known as Premium Beer in Malaysia, where it is 5%."
18,기린 라거,Kirin Lager,Pale Lager - International / Premium,🇯🇵 ,"Original recipe, low-temperature fermentation, longer aging.

Editor's Note: Also brewed in the US: ""Anheuser-Busch began brewing Kirin Lager, Kirin Ichiban and Kirin Light at its Los Angeles brewery in 1997. The agreement marks the first time Anheuser-Busch has produced foreign brands for sale in the United States."""
19,기린 이치방,Kirin Ichiban,Pale Lager - International / Premium,🇯🇵 ,"Bottle, can and keg: Filtered.  
Brewed under license in various locations around the world (UK, USA, Germany, etc) to differing recipes and abv. 

Finest barley malt, premium hops, smooth finish, no bitter aftertaste."
20,남산,Kabrew Namsan Mountain Premium Citra Ale,ISA - Session IPA,🇰🇷 ,Namsan Mountain is a premium ale that combines Citra hop's lemon and orange scents with Mosaic hop's passion fruit and black currant scent.
21,버드와이저,Budweiser,Pale Lager - American,🇺🇸 ,"Brewed and sold since 1876,  Budweiser is distributed in more than 70 countries. Budweiser leads the U.S. Premium beer category, outselling all other domestic premium beers combined. In fact, one in almost every five beers sold in the United States today is a Budweiser. 

""We know of no brand produced by any other brewer which costs so much to brew and age. Our exclusive Beechwood Aging produces a taste, a smoothness and a drinkability you will find in no other beer at any price.""

""Brewed with 100% natural ingredients. We use only the finest hops, barley malt, rice, yeast and water. We craft and age Budweiser using time-honoured brewing methods."""
